流水,華語,台語,台羅,備存對照
379,三角,三角,sann-kak,335
380,三角店,三角店,Sann-kak-tiàm,40018
381,三角架,三跤馬,sann-kha-bé,494
382,三角湧,三角湧,Sann-kak-íng,40019
383,三角褲,三角褲,sann-kak-khòo,343
384,三官大帝,三界公,Sam-kài-kong,399
385,三板,舢舨仔,sam-pán-á,5493
386,三芝鄉,三芝區,Sam-tsi-khu,35047
387,三長兩短,三長兩短,sann-tn̂g-nn̄g-té,380
388,三思,三思,sàm-su,389
389,三星鄉,三星鄉,Sam-sing-hiong,35066
390,三牲,三牲,sam-sing,398
391,三界公,三界公,Sam-kài-kong,399
392,三界爺,三界公,Sam-kài-kong,399
393,三軍,三軍,sam-kun,53359
394,三重市,三重區,Sam-tiông-khu,35028
395,三重埔,三重埔,Sann-tîng-poo,40024
396,三峽河,三峽河,Sam-kiap-hô,38007
397,三峽鎮,三峽區,Sam-kiap-khu,35035
398,三託四請,央三託四,iang-sann-thok-sì,1436
399,三隻手,三肢手,sann-ki-tshiú,377
400,三隻手,剪綹仔,tsián-liú-á,7013
401,三國,三國,Sam-kok,53927
402,三絃,三絃,sam-hiân,442
403,三通,三通,sam-thong,51604
404,三貂嶺,三貂嶺,Sam-tiau-niá,34123
405,三溫暖,三溫暖,sam-un-luán,53928
406,三義,三義,Sam-gī,34027
407,三義鄉,三義鄉,Sam-gī-hiong,35110
408,三腳架,三跤馬,sann-kha-bé,494
409,三腳貓,三跤貓,sann-kha-niau,495
410,三輪車,三輪車,sann-lián-tshia,534
411,三餐,三頓,sann tǹg,500
412,三餐,正頓,tsiànn-tǹg,1810
413,三餐,飯頓,pn̄g-tǹg,9305
414,三餐,糜飯,muê-pn̄g/bê-pn̄g,12310
415,三灣鄉,三灣鄉,Sam-uan-hiong,35113
416,上,上,tsiūnn,172
417,上,上,tshiūnn,173
418,上,上,siōng,174
419,上一層,頂層,tíng-tsàn,8096
420,上了年紀,有歲,ū-huè/ū-hè,2551
421,上下,左右,tsó-iū,1697
422,上下,起落,khí-lo̍h,6783
423,上下,頂下,tíng-ē,8041
424,上下,上下,siōng-hā,50495
425,上山,上山,tsiūnn-suann,233
426,上元,上元,Siōng-guân,246
427,上元節,元宵,Guân-siau,703
428,上升,上升,siōng-sing,50418
429,上午,上午,siōng-ngóo,255
430,上午,頂晡,tíng-poo,8078
431,上天,上天,siōng-thian,256
432,上手,上手,tsiūnn-tshiú,257
433,上半身,頂半身,tíng-puànn-sin,8057
434,上半夜,頂半暝,tíng-puànn-mê/tíng-puànn-mî,8058
435,上司,頂司,tíng-si,8056
436,上司,頂面,tíng-bīn,8071
437,上司,頂頭,tíng-thâu,8102
438,上市,上市,tsiūnn-tshī,295
439,上任,上任,tsiūnn-jīm/tsiūnn-līm,306
440,上吊,吊死,tiàu--sí,2174
